brand,mileage,fuel_type,transmission,accident,clean_title,price,hp,engine_displacement,is_v_engine,age
INFINITI,52750,3,0,1,1,28998.0,360.0,3.5,1,9
Audi,25361,3,0,0,0,49998.0,318.83125,3.0,0,5
Audi,98527,2,0,0,0,9995.0,280.0,3.0,1,10
Chrysler,87305,4,0,0,1,9000.0,273.22727272727275,3.6,0,8
Audi,72922,2,0,0,0,25999.0,265.0,2.0,0,13
BMW,41000,2,0,0,1,30000.0,445.0,4.4,0,10
Subaru,42125,2,0,0,1,27899.0,218.73684210526315,2.5,0,4
Mercedes-Benz,62000,2,3,0,1,40000.0,469.0,4.0,0,9
Land,153843,2,0,1,1,9950.0,300.0,4.4,0,19
BMW,35248,2,0,0,0,53998.0,360.47076923076924,3.0,0,6
Ford,194454,2,0,0,1,9888.0,169.0,2.5,0,10
Lexus,21000,2,3,0,1,89999.0,383.0,5.7,0,4
Porsche,18494,2,2,0,0,86900.0,400.0,3.8,0,12
Nissan,67800,2,0,1,1,36500.0,400.0,5.6,0,4
Porsche,79000,2,3,1,1,42999.0,275.0,2.7,0,11
Mercedes-Benz,24906,3,0,0,0,63998.0,357.05725190839695,3.0,0,3
Chevrolet,66840,2,0,1,1,12000.0,303.0,5.3,0,19
BMW,86000,2,3,0,1,32000.0,560.0,4.4,0,12
Hyundai,654,2,0,0,1,34599.0,246.7,2.0,0,2
Chevrolet,75000,2,0,0,1,12500.0,240.0,3.8,1,20
Land,84000,2,0,1,1,22800.0,240.0,2.0,0,10
Audi,52500,2,3,0,1,39999.0,450.0,4.0,0,8
GMC,120000,2,0,0,1,7500.0,288.0,3.6,1,14
Alfa,18665,2,0,0,1,35645.0,336.25,2.0,0,5
Kia,36486,2,0,1,1,23950.0,420.0,5.0,0,8
Ford,162100,1,0,0,1,12500.0,255.0,5.4,0,12
Tesla,13079,4,0,0,1,47000.0,455.0,3.5,0,3
Toyota,28377,2,0,0,0,36999.0,264.74691358024694,4.0,1,3
Subaru,32744,2,1,0,1,24000.0,182.0,2.5,0,5
Porsche,54000,2,0,1,1,26000.0,300.0,3.6,1,13
Toyota,202055,2,0,1,1,8500.0,236.0,4.0,1,17
RAM,65000,0,0,0,1,65000.0,370.0,6.7,0,6
Kia,9686,2,0,0,1,30990.0,230.45454545454547,2.4,0,3
Cadillac,49620,2,0,0,1,10499.0,275.0,4.6,0,15
Lexus,820,2,0,0,0,51998.0,303.6592592592593,2.4,0,2
Audi,68000,2,0,0,1,36499.0,248.0,2.0,0,4
Lexus,82000,2,0,0,1,25000.0,230.0,4.7,0,26
GMC,27352,2,0,0,0,27785.0,341.013698630137,1.5,0,3
Ford,129000,2,0,1,1,7000.0,171.0,2.5,0,13
Lexus,106731,2,0,1,1,30000.0,360.0,4.6,0,11
Ford,34672,2,0,0,1,45500.0,400.0,3.5,1,6
Chevrolet,55900,2,3,0,1,8950.0,252.0,3.6,1,15
Audi,82000,2,0,0,1,17000.0,220.0,2.0,0,10
Genesis,4785,2,0,0,1,42850.0,340.6875,2.0,0,2
Chevrolet,20497,2,0,0,0,22999.0,362.9957627118644,1.3,0,4
Scion,177600,2,0,1,1,7100.0,180.0,2.5,0,12
Lincoln,78568,3,0,0,1,15500.0,188.0,2.0,0,11
