brand,mileage,fuel_type,transmission,accident,clean_title,price,hp,engine_displacement,is_v_engine,age
5,8332,2,0,0,1,47350.0,400.0,6.75,0,20
25,51247,2,0,0,0,47698.0,322.97727272727275,3.0,0,5
31,69000,2,3,0,1,36500.0,550.0,5.5,0,9
38,147834,2,0,0,1,32662.0,377.1296296296296,3.6,1,4
12,105000,1,0,1,1,6600.0,300.0,3.7,1,12
3,92203,2,3,0,1,9995.0,211.0,2.0,0,14
34,15600,2,3,0,1,69500.0,485.0,3.8,1,15
23,104700,2,0,1,0,30775.0,381.03921568627453,3.0,1,7
46,72348,2,0,1,1,9995.0,132.0,1.8,0,15
31,13177,2,0,0,0,44798.0,357.05725190839695,2.0,0,3
37,96000,3,3,1,1,23000.0,416.0,3.0,1,9
8,93009,1,0,0,1,22495.0,362.9957627118644,5.3,1,14
18,52750,3,0,1,1,28998.0,360.0,3.5,1,9
3,25361,3,0,0,0,49998.0,318.83125,3.0,0,5
3,98527,2,0,0,0,9995.0,280.0,3.0,1,10
9,87305,4,0,0,1,9000.0,273.22727272727275,3.6,0,8
3,72922,2,0,0,0,25999.0,265.0,2.0,0,13
4,41000,2,0,0,1,30000.0,445.0,4.4,0,10
43,42125,2,0,0,1,27899.0,218.73684210526315,2.5,0,4
31,62000,2,3,0,1,40000.0,469.0,4.0,0,9
23,153843,2,0,1,1,9950.0,300.0,4.4,0,19
4,35248,2,0,0,0,53998.0,360.47076923076924,3.0,0,6
12,194454,2,0,0,1,9888.0,169.0,2.5,0,10
24,21000,2,3,0,1,89999.0,383.0,5.7,0,4
37,18494,2,2,0,0,86900.0,400.0,3.8,0,12
34,67800,2,0,1,1,36500.0,400.0,5.6,0,4
37,79000,2,3,1,1,42999.0,275.0,2.7,0,11
31,24906,3,0,0,0,63998.0,357.05725190839695,3.0,0,3
8,66840,2,0,1,1,12000.0,303.0,5.3,0,19
4,86000,2,3,0,1,32000.0,560.0,4.4,0,12
17,654,2,0,0,1,34599.0,246.7,2.0,0,2
8,75000,2,0,0,1,12500.0,240.0,3.8,1,20
23,84000,2,0,1,1,22800.0,240.0,2.0,0,10
3,52500,2,3,0,1,39999.0,450.0,4.0,0,8
13,120000,2,0,0,1,7500.0,288.0,3.6,1,14
1,18665,2,0,0,1,35645.0,336.25,2.0,0,5
22,36486,2,0,1,1,23950.0,420.0,5.0,0,8
12,162100,1,0,0,1,12500.0,255.0,5.4,0,12
45,13079,4,0,0,1,47000.0,455.0,3.5,0,3
46,28377,2,0,0,0,36999.0,264.74691358024694,4.0,1,3
43,32744,2,1,0,1,24000.0,182.0,2.5,0,5
37,54000,2,0,1,1,26000.0,300.0,3.6,1,13
46,202055,2,0,1,1,8500.0,236.0,4.0,1,17
38,65000,0,0,0,1,65000.0,370.0,6.7,0,6
22,9686,2,0,0,1,30990.0,230.45454545454547,2.4,0,3
7,49620,2,0,0,1,10499.0,275.0,4.6,0,15
24,820,2,0,0,0,51998.0,303.6592592592593,2.4,0,2
3,68000,2,0,0,1,36499.0,248.0,2.0,0,4
24,82000,2,0,0,1,25000.0,230.0,4.7,0,26
13,27352,2,0,0,0,27785.0,341.013698630137,1.5,0,3
12,129000,2,0,1,1,7000.0,171.0,2.5,0,13
24,106731,2,0,1,1,30000.0,360.0,4.6,0,11
12,34672,2,0,0,1,45500.0,400.0,3.5,1,6
8,55900,2,3,0,1,8950.0,252.0,3.6,1,15
3,82000,2,0,0,1,17000.0,220.0,2.0,0,10
14,4785,2,0,0,1,42850.0,340.6875,2.0,0,2
8,20497,2,0,0,0,22999.0,362.9957627118644,1.3,0,4
42,177600,2,0,1,1,7100.0,180.0,2.5,0,12
25,78568,3,0,0,1,15500.0,188.0,2.0,0,11
12,95000,1,0,0,1,43000.0,275.0,3.7,1,7
12,25240,2,0,1,0,39951.0,335.81672025723475,2.3,0,4
48,88300,2,0,1,1,11500.0,235.0,3.2,0,14
8,98000,1,0,1,1,27499.0,320.0,5.3,0,12
3,20675,2,3,0,1,76000.0,400.0,2.5,0,7
25,95000,2,0,0,1,10900.0,300.0,5.4,0,17
17,107000,2,0,1,1,6250.0,138.0,2.0,0,15
3,60000,2,3,1,1,24700.0,354.0,3.0,1,9
33,33000,2,2,0,1,34999.0,291.0,2.0,0,13
45,500,4,0,0,1,60000.0,455.0,3.5,0,2
31,108500,2,0,0,1,63500.0,523.0,6.0,0,9
31,74422,2,0,0,0,44798.0,357.05725190839695,4.7,0,7
8,55621,2,0,0,0,34562.0,362.9957627118644,3.6,1,6
30,46707,2,0,1,1,32541.0,188.17948717948718,2.5,0,4
12,26500,2,0,0,1,65900.0,440.0,3.5,1,3
34,10001,2,0,0,1,47214.0,294.6774193548387,5.6,1,5
24,19050,2,0,0,1,76900.0,383.0,5.7,0,6
8,52000,2,0,0,1,35800.0,310.0,3.6,1,5
31,65000,0,0,1,1,54999.0,188.0,3.0,1,11
4,140000,2,3,0,1,6730.0,225.0,3.0,0,21
12,75600,2,0,1,1,14950.0,181.0,1.5,0,7
25,117292,2,0,0,1,12000.0,240.0,2.0,0,10
14,26000,2,3,0,1,33600.0,420.0,5.0,0,8
